Bioregion,Year,Type,Area_ha,Binary
Jarrah Forest,1950,WF,0,WF
Jarrah Forest,1950,WF,0,WF
Jarrah Forest,1950,WF,0,WF
Jarrah Forest,1950,WF,0,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,1,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,PB,2,PB
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,PB,2,PB
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,PB,2,PB
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
Jarrah Forest,1950,WF,2,WF
