Year,Warren,WarrenY,SW,SWy,SWf,SWfy,SA,SAf,SAM,SPEI,TmeanA,TmeanS,TmaxA,TmaxS,TminA,TminS,TdA,TdS,HiA,HiS,HdA,HdS,LiA,LiS,LdA,LdS
1957,8617,167980,64418,1783609,42527,1393347,16239,6300,-1.6325,-0.124566269,0.05,0.46,0.36,0.94,-0.28,-0.02,0,10,1024.18,1021.91,7.25,8.04,1003.64,1005.75,5.56,7.29
1958,42521,211292,136412,2074048,52165,1609466,28167,19597,-0.594166667,-0.969741147,-0.01,0.06,0.13,0.15,-0.16,-0.04,0,0,1023.89,1022.39,6.95,8.02,1005.28,1004.8,5.28,6.99
1959,5136,255033,41980,2201081,26683,1628431,5876,3775,0.134166667,-0.690578024,0.14,-2,0.14,-2.24,0.13,-1.77,0,0,1024.61,1021.77,6.41,5.59,1004.31,1005.72,4.93,6.42
1960,467,266129,21032,2401297,11328,1783130,1787,1725,0.629166667,0.584902558,-1.12,0.91,-1.03,1.12,-1.22,0.69,0,88.3,1024.69,1022.41,7.56,7.37,1005.27,1003.7,4.72,6.62
1961,97552,249520,373011,2329659,221617,1724609,76417,30869,0.286666667,-0.134372127,0.36,0.55,0.55,0.66,0.17,0.43,0.6,7.8,1025,1022.02,7.09,5.64,1003.83,1005.45,5.28,8.01
1962,12288,369080,53691,2967243,34116,2141629,14586,10539,-0.21,-0.694179712,0.3,0.1,0.56,-0.23,0.04,0.41,0,0,1023.88,1024.97,6.76,7.67,1003.52,1004.74,5.2,7.11
1963,1691,372243,8892,3140494,4879,2288458,4006,2028,0.471666667,0.870288498,0.4,-0.28,0.01,-0.34,0.78,-0.24,0,0,1024.63,1022.58,5.94,7.87,1002.93,1005.62,6.19,6.36
1964,21568,368176,91655,3268307,58826,2419497,66242,48037,-1.519166667,0.69776096,-0.73,-0.46,-0.83,-0.21,-0.64,-0.73,0,0,1023.83,1022.18,7.55,7.53,1002.04,1004.44,4.95,6.04
1965,959,402179,15961,3499670,7509,2650347,3967,3019,-0.654166667,0.80464317,-0.05,-0.11,-0.19,-0.25,0.07,0.02,0,0,1024.86,1022.75,5.83,6.28,1003.77,1001.51,5.13,7.3
1966,3855,404383,73532,3472021,27607,2634155,18923,12539,-0.46,0.356372409,-0.53,-0.3,-0.46,-0.06,-0.61,-0.56,0,0,1024.55,1021.7,6.93,7.59,1004.37,1003.36,5.9,5.85
1967,10709,433373,41140,3729303,14135,2816685,16977,5861,-0.25,0.071889798,0.12,-0.48,0.2,-0.68,0.03,-0.29,0,0,1024.23,1022.62,6.08,4.96,1004.44,1000.46,5.67,5.7
1968,3748,400567,9842,3307749,4092,2539122,5466,1531,-1.116666667,0.539947991,-1.27,-0.71,-1.42,-0.05,-1.13,-1.37,0,0,1024.48,1021.09,5.81,5.97,1001.02,1002.82,4,4.29
1969,25110,404809,51712,3266943,26049,2506787,31533,16923,-0.4025,-0.77007113,-0.15,0.26,0.34,0.32,-0.66,0.18,0,0,1025.81,1022.43,7.05,7.82,1004.49,1005.19,4.52,7.15
