"","clim","X","value","gp","names","cols"
"1","H",1,0.0168141772833333,"5","5","H"
"2","H",2,0.00148592703333333,"5","5","H"
"3","H",3,0.00386657550555556,"5","5","H"
"4","H",4,0.00538670997777778,"5","5","H"
"5","H",5,0.0150100370555556,"5","5","H"
"6","H",6,0.0259585612666667,"10","10","H"
"7","H",7,0.0385952339888889,"10","10","H"
"8","H",8,0.0596353291666667,"10","10","H"
"9","H",9,0.038094751,"10","10","H"
"10","H",10,0.0482776845555556,"10","10","H"
"11","H",11,0.0328223533647059,"15","15","H"
"12","H",12,0.0193289614117647,"15","15","H"
"13","H",13,0.0339755045,"15","15","H"
"14","H",14,0.01359906761875,"15","15","H"
"15","H",15,0.0570968201875,"15","15","H"
"16","H",16,0.034894576875,"20","20","H"
"17","H",17,0.02097671455625,"20","20","H"
"18","H",18,0.061245559175,"20","20","H"
"19","H",19,0.0617606468125,"20","20","H"
"20","H",20,0.0287524430625,"20","20","H"
"21","H",21,0.0468548534375,"25","25","H"
"22","H",22,0.0210185026875,"25","25","H"
"23","H",23,0.0333720927333333,"25","25","H"
"24","H",24,0.0100009584,"25","25","H"
"25","H",25,0.0452574707333333,"25","25","H"
"26","H",26,0.0264520282,"30","30","H"
"27","H",27,0.0553123837333333,"30","30","H"
"28","H",28,0.0606770524666667,"30","30","H"
"29","H",29,0.0314618478666667,"30","30","H"
"30","H",30,0.0396488862,"30","30","H"
"31","H",31,0.0377042352142857,"35","35","H"
"32","H",32,0.0208804835714286,"35","35","H"
"33","H",33,0.00995270221428571,"35","35","H"
"34","H",34,0.0376670162142857,"35","35","H"
"35","H",35,0.0353504947857143,"35","35","H"
"36","H",36,0.0230242252142857,"40","40","H"
"37","H",37,0.0675816097142857,"40","40","H"
"38","H",38,0.0474523830769231,"40","40","H"
"39","H",39,0.00752190653846154,"40","40","H"
"40","H",40,0,"40","40","H"
"41","H",41,0.000231347615384615,"45","45","H"
"42","H",42,0.0100842613846154,"45","45","H"
"43","H",43,0.000990729384615385,"45","45","H"
"44","H",44,0.0271929824166667,"45","45","H"
"45","H",45,0.0444442174166667,"45","45","H"
"46","H",46,0.0495,"50","50","H"
"47","H",47,0.0778186274166667,"50","50","H"
